Linux 6.8.0-87-generic (jschoi) 	09/15/2026 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:20 PM  1000    220395   21.00    2.00    0.00    0.00   23.00     4   1237.00      0.00 2630336  294640   0.90  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:21 PM  1000    220395   18.00    2.00    0.00    0.00   20.00     4    997.00      0.00 2630400  295152   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:22 PM  1000    220395   16.00    2.00    0.00    0.00   18.00     0   1192.00      0.00 2630460  296204   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:23 PM  1000    220395   17.00    3.00    0.00    0.00   20.00     2   1038.00      0.00 2630524  296800   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:24 PM  1000    220395   16.00    1.00    0.00    0.00   17.00     4   1022.00      0.00 2630588  297124   0.91  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:25 PM  1000    220395   17.00    2.00    0.00    0.00   19.00     6   1328.00      0.00 2630648  298540   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:26 PM  1000    220395   18.00    2.00    0.00    0.00   20.00     6   1107.00      0.00 2630708  299384   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:27 PM  1000    220395   19.00    1.00    0.00    0.00   20.00     6   1061.00      0.00 2630768  300032   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:28 PM  1000    220395   17.00    2.00    0.00    0.00   19.00    12   1107.00      0.00 2696364  300352   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:29 PM  1000    220395   14.00    2.00    0.00    0.00   16.00    14   1249.00      0.00 2696416  301404   0.92  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:30 PM  1000    220395   16.00    2.00    0.00    0.00   18.00    14   1214.00      0.00 2696468  302300   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:31 PM  1000    220395   12.00    2.00    0.00    0.00   14.00    14   1103.00      0.00 2696516  302816   0.93  fastlio_mapping

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
10:51:32 PM  1000    220395    4.00    2.00    0.00    0.00    6.00    14   1394.00      0.00 2696564  304076   0.93  fastlio_mapping

